episode,avg_reward
1,0.0
2,-2.353736172516357
3,-51.152764166256574
4,-23.795425530288906
5,-23.37344483367427
6,-14.19714647190224
7,-13.21126146983128
8,-13.354981999885213
9,-13.09220349983784
10,-12.939013213993151
11,-13.06267518714417
12,-12.893891826952839
13,-14.137477063758118
14,-14.29375073409982
15,-13.501868098219656
16,-12.877795691585805
17,-12.918656856192072
18,-12.507244747951063
19,-13.353105084315247
20,-13.09290359025854
21,-13.968269495109743
22,-14.430887077915145
23,-13.242271861540493
24,-13.189489648223491
25,-12.817736119754462
26,-12.95811428991998
27,-11.888226676850918
28,-12.495176034532406
29,-11.7237291422211
30,-12.68003627627864
31,-21.62675942627809
32,-32.171970306064885
33,-16.45426431201994
34,-8.508725552096687
35,-9.204089891719395
36,-10.733969211916454
37,-10.027326211670815
38,-12.653338412458892
39,-12.899731707725184
40,-10.145257721905125
41,-9.677082539028593
42,-8.519849159736669
43,-8.61985851315994
44,-8.876805876004207
45,-11.937759507581765
46,-6.7620547131355995
47,-19.065641957430763
48,-30.87406463007861
49,-14.470889857603101
50,-20.36561107770586
51,-72.7548950613899
52,-12.191212678233631
53,-46.31295244050925
54,-23.30915510025748
55,-9.0412060880995
56,-9.00639258115278
57,-19.48006758951597
58,-10.041841212364575
59,-6.734671655162362
60,-18.935093706567912
61,-11.888442003982757
62,-16.74562398340206
63,-13.14131892475971
64,-16.000252996842388
65,-15.063943201549204
66,-10.689201928119687
67,-13.3433536749154
68,-14.071982615039728
69,-9.487953201685373
70,-8.258113207788625
71,-9.39882370855982
72,-9.78550253017928
73,-8.068536321740872
74,-7.838726692392022
75,-8.587848492761799
76,-9.05504950263514
77,-7.72455997919908
78,-8.707694235285144
79,-7.390171305629147
80,-8.759380033744673
81,-9.020120043527424
82,-10.582199439367969
83,-8.527915130512529
84,-7.882265025287647
85,-9.425608856363647
86,-7.961194350421268
87,-10.937613314783581
88,-11.585257462941469
89,-9.700912490997297
90,-9.915460677550373
91,-10.306051823022953
92,-12.672086678415564
93,-10.024174342669633
94,-10.982058091503594
95,-9.443208656153255
96,-8.460658511165258
97,-8.686808379847191
98,-10.699394080080639
99,-11.275198578109617
100,-9.332675134333092
101,-8.477306397915317
102,-7.630982927586551
103,-9.12514911620063
104,-9.795375857320034
105,-10.65557930982249
106,-11.981597305023628
107,-10.294155506312531
108,-10.617498459738997
109,-10.29871177796696
110,-30.256248343794034
111,-17.649492185647205
112,-11.099797085183432
113,-11.12992327630388
114,-9.933764418037338
115,-10.666136252154606
116,-9.409472815706627
117,-9.4908600530128
118,-9.36087978020064
119,-8.206398645285399
120,-7.758892533225558
121,-10.155652580321366
122,-12.717873526698773
123,-7.1738490474746905
124,-8.252880507056537
125,-7.6798072485700315
126,-13.389904136134186
127,-18.93875110638454
128,-10.545180241526857
129,-9.96081929125073
130,-8.499094562277461
131,-9.680306684841737
132,-10.580006986844358
133,-8.052980901830004
134,-8.907001545202771
135,-8.052738907883176
136,-9.54030679582221
137,-9.06122986263241
138,-10.325386469571075
139,-9.150500019210831
140,-11.695529147675295
141,-10.512475338179598
142,-10.789773751912985
143,-11.511529637160237
144,-12.125274647506286
145,-14.264587702050694
146,-10.676152890085143
147,-15.417006632620291
148,-10.15329889161443
149,-6.243661863111505
150,-8.009669712920232
151,-8.691790082885818
152,-11.668107688630673
153,-9.942443205148459
154,-9.865597452622232
155,-12.205386905020433
156,-13.870506580083742
157,-13.776063785416715
158,-15.164602637929988
159,-14.104504750950916
160,-11.302367847261438
161,-12.204052310766428
162,-11.307699656033838
163,-10.829658712635519
164,-9.364083144840285
165,-11.2153906918701
166,-9.407725786919041
167,-9.961685348531526
168,-9.712182694613775
169,-9.071917099809905
170,-9.878235199041228
171,-10.483230652640845
172,-8.930553763865396
173,-9.25798115555009
174,-10.209200678226665
175,-9.41845438748404
