episode,total_reward
1,-1348.7043958827853
2,-1495.2283657565713
3,-1495.023326843977
4,-1494.065698698163
5,-1494.7388955578208
6,-1495.8537369295955
7,-1495.421963326633
8,-1492.9024737626314
9,-1492.2290814593434
10,-1487.8097759187222
11,-1490.9195729717612
12,-979.0905154198408
13,-709.1767137646675
14,-578.4081332683563
15,-668.6430072784424
16,-571.8931658267975
17,-625.1139737069607
18,-604.2106257975101
19,-589.8676478862762
20,-594.3234696984291
21,-591.0264043211937
22,-585.6373332738876
23,-568.6123317480087
24,-566.7399173080921
25,-572.3099367022514
26,-595.9757204055786
27,-606.0688422769308
28,-579.0306234955788
29,-589.1407565176487
30,-603.0745645165443
31,-639.0487549901009
32,-675.6999553143978
33,-1478.0831709355116
34,-1488.5701728090644
35,-1495.5599338263273
36,-1496.0811876431108
37,-1495.324037708342
38,-1496.202481366694
39,-1495.6417717412114
40,-1472.9767313450575
41,-1495.0468538179994
42,-1495.3691363409162
43,-1326.4279468469322
44,-1495.1969555094838
45,-1496.241007681936
46,-1496.726455077529
47,-1495.621816456318
48,-1506.8944951221347
49,-1044.7436294555664
50,-1072.1767219230533
51,-1084.8872390165925
52,-1496.1947252750397
53,-1496.942099802196
54,-1497.0173838064075
55,-1496.3444477319717
56,-1495.9293816164136
57,-1495.9793706461787
58,-1495.9589341282845
59,-1495.961257904768
60,-1496.1760219410062
61,-1496.5382766872644
62,-1495.8859316259623
63,-1485.6457731872797
64,-1495.3038934394717
65,-1489.9129590019584
66,-1492.145941093564
67,-1495.8138604983687
68,-1495.3725887313485
69,-1495.7340214550495
70,-1496.005780376494
71,-1495.9233387634158
72,-1482.759492881596
73,-1495.7068179547787
74,-1494.4594348147511
75,-1494.995422154665
76,-1469.998257726431
77,-1493.6228348314762
78,-1480.9042745903134
79,-1493.1049154698849
80,-1493.6080568432808
81,-1489.1920857951045
82,-1490.6289772763848
83,-1477.9643592461944
84,-1469.562849484384
85,-1494.5843212231994
86,-1493.6889751702547
87,-1478.4831307455897
88,-1473.2363602742553
89,-1484.7279851660132
90,-1493.816516801715
91,-1484.250073775649
92,-1495.1381589695811
93,-1447.4808685183525
94,-1449.2868583276868
95,-1416.2643201723695
96,-1368.5578112080693
97,-1400.9841926544905
98,-1492.735415905714
99,-1506.3178036287427
100,-1496.1353364139795
101,-1496.3437753990293
102,-1496.7234608009458
103,-1495.6053515300155
104,-1496.9821247309446
105,-1495.8365325853229
106,-1495.6141812056303
107,-1495.2614496946335
108,-1485.7870038375258
109,-1496.3647169843316
110,-1496.4332048296928
111,-1496.2263310700655
112,-1497.1654495820403
113,-1497.488485775888
114,-1495.5742432698607
115,-1486.1492132321
116,-1486.0047421231866
117,-1495.469173580408
118,-1496.0562894418836
119,-1506.1521143987775
120,-1497.241503380239
121,-1496.3365565091372
122,-1495.9154405072331
123,-1493.69038888067
124,-1494.0626860782504
125,-1493.9371662214398
126,-1494.661934696138
127,-1489.8887974917889
128,-1328.21641241014
129,-1472.5893090739846
130,-1473.0315550789237
131,-1438.393698811531
132,-1456.4515766650438
133,-1436.0191830322146
134,-1467.7108583264053
135,-1474.5302182585
136,-1474.0002791881561
